region_id;year;crime_count
SK01;2022;8822
SK01;2021;8823
SK01;2020;9620
SK01;2019;10064
SK01;2018;10973
SK01;2017;11577
SK01;2016;13271
SK01;2015;14145
SK01;2014;15260
SK01;2013;17211
SK01;2012;18415
SK01;2011;19354
SK01;2010;20767
SK01;2009;24003
SK01;2008;24441
SK01;2007;25330
SK01;2006;24620
SK01;2005;23523
SK01;2004;24835
SK01;2003;21098
SK01;2002;21807
SK01;2001;18628
SK010;2022;8822
SK010;2021;8823
SK010;2020;9620
SK010;2019;10064
SK010;2018;10973
SK010;2017;11577
SK010;2016;13271
SK010;2015;14145
SK010;2014;15260
SK010;2013;17211
SK010;2012;18415
SK010;2011;19354
SK010;2010;20767
SK010;2009;24003
SK010;2008;24441
SK010;2007;25330
SK010;2006;24620
SK010;2005;23523
SK010;2004;24835
SK010;2003;21098
SK010;2002;21807
SK010;2001;18628
SK02;2022;16582
SK02;2021;15914
SK02;2020;16563
SK02;2019;17999
SK02;2018;19290
SK02;2017;21150
SK02;2016;21934
SK02;2015;21940
SK02;2014;24374
SK02;2013;26526
SK02;2012;26034
SK02;2011;26233
SK02;2010;26190
SK02;2009;28627
SK02;2008;28650
SK02;2007;29432
SK02;2006;29106
SK02;2005;31587
SK02;2004;32730
SK02;2003;29632
SK02;2002;29433
SK02;2001;24460
SK021;2022;5522
SK021;2021;5457
SK021;2020;5431
SK021;2019;6173
SK021;2018;6396
SK021;2017;7283
SK021;2016;7760
SK021;2015;7405
SK021;2014;8186
SK021;2013;9073
SK021;2012;8860
SK021;2011;8957
SK021;2010;8870
SK021;2009;9909
SK021;2008;10622
SK021;2007;10570
SK021;2006;10414
SK021;2005;11484
SK021;2004;11709
SK021;2003;10927
SK021;2002;10497
SK021;2001;8660
SK022;2022;4817
SK022;2021;4437
SK022;2020;4761
SK022;2019;5033
SK022;2018;5514
SK022;2017;5986
SK022;2016;6149
SK022;2015;6280
SK022;2014;6958
SK022;2013;7569
SK022;2012;7753
SK022;2011;7775
SK022;2010;7581
SK022;2009;8501
SK022;2008;7774
SK022;2007;8171
SK022;2006;7625
SK022;2005;8584
SK022;2004;9250
SK022;2003;8476
SK022;2002;8477
SK022;2001;7203
SK023;2022;6243
SK023;2021;6020
SK023;2020;6371
SK023;2019;6793
SK023;2018;7380
SK023;2017;7881
SK023;2016;8025
SK023;2015;8255
SK023;2014;9230
SK023;2013;9884
SK023;2012;9421
SK023;2011;9501
SK023;2010;9739
SK023;2009;10217
SK023;2008;10254
SK023;2007;10691
SK023;2006;11067
SK023;2005;11519
SK023;2004;11771
SK023;2003;10229
SK023;2002;10459
SK023;2001;8597
SK03;2022;13664
SK03;2021;12221
SK03;2020;13547
SK03;2019;14263
SK03;2018;14217
SK03;2017;15446
SK03;2016;15880
SK03;2015;17330
SK03;2014;19440
SK03;2013;20994
SK03;2012;21075
SK03;2011;22292
SK03;2010;22867
SK03;2009;25196
SK03;2008;24596
SK03;2007;26227
SK03;2006;27778
SK03;2005;28866
SK03;2004;32066
SK03;2003;26351
SK03;2002;25966
SK03;2001;23584
SK031;2022;6836
SK031;2021;5859
SK031;2020;6581
SK031;2019;6983
SK031;2018;7048
SK031;2017;7774
SK031;2016;8004
SK031;2015;8585
SK031;2014;9431
SK031;2013;9788
SK031;2012;9808
SK031;2011;10240
SK031;2010;10551
SK031;2009;11494
SK031;2008;11246
SK031;2007;12702
SK031;2006;13573
SK031;2005;14146
SK031;2004;15915
SK031;2003;12840
SK031;2002;12657
SK031;2001;11483
SK032;2022;6828
SK032;2021;6362
SK032;2020;6966
SK032;2019;7280
SK032;2018;7169
SK032;2017;7672
SK032;2016;7876
SK032;2015;8745
SK032;2014;10009
SK032;2013;11206
SK032;2012;11267
SK032;2011;12052
SK032;2010;12316
SK032;2009;13702
SK032;2008;13350
SK032;2007;13525
SK032;2006;14205
SK032;2005;14720
SK032;2004;16151
SK032;2003;13511
SK032;2002;13309
SK032;2001;12101
SK04;2022;15492
SK04;2021;13882
SK04;2020;14398
SK04;2019;16309
SK04;2018;16681
SK04;2017;17799
SK04;2016;18357
SK04;2015;19570
SK04;2014;21957
SK04;2013;24713
SK04;2012;24523
SK04;2011;24717
SK04;2010;24008
SK04;2009;25648
SK04;2008;25325
SK04;2007;27917
SK04;2006;31641
SK04;2005;36635
SK04;2004;40045
SK04;2003;32614
SK04;2002;28787
SK04;2001;24723
SK041;2022;6696
SK041;2021;6068
SK041;2020;6308
SK041;2019;7153
SK041;2018;7138
SK041;2017;7687
SK041;2016;7769
SK041;2015;8019
SK041;2014;9240
SK041;2013;10431
SK041;2012;10242
SK041;2011;10152
SK041;2010;10247
SK041;2009;11226
SK041;2008;10698
SK041;2007;11196
SK041;2006;12505
SK041;2005;14258
SK041;2004;15295
SK041;2003;12785
SK041;2002;11335
SK041;2001;10250
SK042;2022;8796
SK042;2021;7814
SK042;2020;8090
SK042;2019;9156
SK042;2018;9543
SK042;2017;10112
SK042;2016;10588
SK042;2015;11551
SK042;2014;12717
SK042;2013;14282
SK042;2012;14281
SK042;2011;14565
SK042;2010;13761
SK042;2009;14422
SK042;2008;14627
SK042;2007;16721
SK042;2006;19136
SK042;2005;22377
SK042;2004;24750
SK042;2003;19829
SK042;2002;17452
SK042;2001;14473
