year;crime_per_citizen
2001;0.018310434572085706
2002;0.02016179121661541
2003;0.020503738506388165
2004;0.024531872752017108
2005;0.022400813246915702
2006;0.021661822429478988
2007;0.020659326559416376
2008;0.020422305747158087
2009;0.02097717954763268
2010;0.018883256825171953
2011;0.01825706529642736
2012;0.017110358547586146
2013;0.017061172662538652
2014;0.015272545276710932
2015;0.013391544568040379
2016;0.012088858327360022
2017;0.011806927797989497
2018;0.011065423215007857
2019;0.011281994061455873
2020;0.010831874259448735
2021;0.010244997471762649
2022;0.01105253190066966
