year;crime_per_citizen
2001;0.018832889175740667
2002;0.02273328253124654
2003;0.02578315571574945
2004;0.032121665187123304
2005;0.028987741386390518
2006;0.024752744196635302
2007;0.02160048469002187
2008;0.01886116086338134
2009;0.01853441628540585
2010;0.017642307692307693
2011;0.018367169362577887
2012;0.017985579799124712
2013;0.01797029528559709
2014;0.01598486610144991
2015;0.0144994665160359
2016;0.013266458088742931
2017;0.012652383520370562
2018;0.011922580064816458
2019;0.011424150924562674
2020;0.010086124783690649
2021;0.010014251148293964
2022;0.011284084130313468
