year;crime_per_citizen
2001;0.012059871503521028
2002;0.014710225850278901
2003;0.014412076330887409
2004;0.016594064989074505
2005;0.016258338061645904
2006;0.015646715349106822
2007;0.015126818514965518
2008;0.014516368784285968
2009;0.014478623588380255
2010;0.013819045564964697
2011;0.013778271487490647
2012;0.013685357350377687
2013;0.014394272582435027
2014;0.013475987046700208
2015;0.012094759621231101
2016;0.011787966432572098
2017;0.0116120419866449
2018;0.010906317979759765
2019;0.010074061331205714
2020;0.009487601041238527
2021;0.008937757869903659
2022;0.00930824099144769
