year;crime_per_citizen
2001;0.011852127311230644
2002;0.014046535673925506
2003;0.014075852837921768
2004;0.01538098278660175
2005;0.014297468628515655
2006;0.012711574784903484
2007;0.013622170244618901
2008;0.012959712199033439
2009;0.014186918196170316
2010;0.012659918940447781
2011;0.013085128225841739
2012;0.013070694366940399
2013;0.012776969381864097
2014;0.011768625905522865
2015;0.010645240577351741
2016;0.010442990679601099
2017;0.010191295346667484
2018;0.009411451452681598
2019;0.008609762064016395
2020;0.008172450550752103
2021;0.007734020801849054
2022;0.008440881412362553
2023;0.008402026030902503
2024;0.00797392121466692
2025;0.0076519105754561025
2026;0.007328209391935063
2027;0.0070028043161202685
2028;0.006675681859135224
2029;0.006346828389347306
2030;0.006016230130473913
2031;0.005683873159658388
2032;0.005349743405516189
2033;0.00501382664614814
2034;0.004676108507123314
2035;0.004336574459428303
2036;0.003995209817383328
2037;0.0036519997365256044
2038;0.0033069292114567095
2039;0.0029599830736564254
2040;0.0026111459892597805
