year;crime_per_citizen
2001;0.015706673341095986
2002;0.019053894367692784
2003;0.01979478781335256
2004;0.02116602012299394
2005;0.020722808081245533
2006;0.01876142863576994
2007;0.018971517595768473
2008;0.01897009290380652
2009;0.017646587418191532
2010;0.015752618184595113
2011;0.016123951187109478
2012;0.015918731819676343
2013;0.016271287355992023
2014;0.014652473611764938
2015;0.013230372862459509
2016;0.013828596682562425
2017;0.012950502514349932
2018;0.011348655319194238
2019;0.010927268961635072
2020;0.009606880302269142
2021;0.00965334974951176
2022;0.009763549532951537
2023;0.009595240534592177
2024;0.009085773216003332
2025;0.008583267549664321
2026;0.008081933436910238
2027;0.007581766785430382
2028;0.0070827635219508625
2029;0.006584919592124669
2030;0.006088230960422452
2031;0.005592693610022269
2032;0.005098303542701914
2033;0.004605056778731998
2034;0.0041129493567677285
2035;0.0036219773337444945
2036;0.003132136784771128
2037;0.0026434238030259303
2038;0.0021558344996534056
2039;0.0016693650036596996
2040;0.0011840114618117752
