year,value
2001,660880.0
2002,660110.0
2003,658953.0
2004,658368.0
2005,657119.0
2006,655762.0
2007,654668.0
2008,653697.0
2009,653186.0
2010,652218.0
2011,660128.0
2012,658490.0
2013,656813.0
2014,655359.0
2015,653024.0
2016,651509.0
2017,649788.0
2018,647874.0
2019,645276.0
2020,643102.0
2021,620986.0
2022,617777.0
2023,614356.0
2024,631045.0513833994
2025,629503.7223320161
2026,627962.3932806323
2027,626421.064229249
2028,624879.7351778657
2029,623338.4061264824
2030,621797.0770750991
2031,620255.7480237153
2032,618714.418972332
2033,617173.0899209487
2034,615631.7608695654
2035,614090.4318181821
2036,612549.1027667983
2037,611007.773715415
2038,609466.4446640317
2039,607925.1156126484
2040,606383.7865612651
