year,value
2001,617310.0
2002,599736.0
2003,599787.0
2004,601132.0
2005,603699.0
2006,606753.0
2007,610850.0
2008,616578.0
2009,622706.0
2010,628686.0
2011,606537.0
2012,612682.0
2013,618380.0
2014,625167.0
2015,633288.0
2016,641892.0
2017,650838.0
2018,659598.0
2019,669592.0
2020,677024.0
2021,723714.0
2022,728370.0
2023,732757.0
2024,702538.5296442676
2025,707869.3636363633
2026,713200.1976284571
2027,718531.0316205528
2028,723861.8656126484
2029,729192.6996047422
2030,734523.5335968379
2031,739854.3675889317
2032,745185.2015810274
2033,750516.0355731212
2034,755846.8695652168
2035,761177.7035573125
2036,766508.5375494063
2037,771839.371541502
2038,777170.2055335958
2039,782501.0395256914
2040,787831.8735177852
