year,value
2001,768496.0
2002,767685.0
2003,769068.0
2004,770508.0
2005,771947.0
2006,773086.0
2007,774103.0
2008,775509.0
2009,778120.0
2010,780000.0
2011,792991.0
2012,794025.0
2013,794756.0
2014,795565.0
2015,796650.0
2016,798103.0
2017,799217.0
2018,800414.0
2019,801460.0
2020,802092.0
2021,780288.0
2022,779505.0
2023,779073.0
2024,799442.0474308296
2025,800690.2579051382
2026,801938.4683794463
2027,803186.6788537549
2028,804434.889328063
2029,805683.0998023711
2030,806931.3102766797
2031,808179.5207509878
2032,809427.7312252964
2033,810675.9416996045
2034,811924.1521739126
2035,813172.3626482212
2036,814420.5731225293
2037,815668.7835968379
2038,816916.994071146
2039,818165.2045454541
2040,819413.4150197627
