year,value
2001,712860.0
2002,711002.0
2003,709752.0
2004,709350.0
2005,708498.0
2006,707305.0
2007,706758.0
2008,706375.0
2009,705661.0
2010,704752.0
2011,689564.0
2012,688400.0
2013,686662.0
2014,684922.0
2015,682527.0
2016,680779.0
2017,678692.0
2018,676672.0
2019,674306.0
2020,671508.0
2021,673547.0
2022,670696.0
2023,668301.0
2024,664422.7233201573
2025,662150.3814229239
2026,659878.0395256914
2027,657605.697628458
2028,655333.3557312246
2029,653061.0138339913
2030,650788.6719367579
2031,648516.3300395254
2032,646243.988142292
2033,643971.6462450586
2034,641699.3043478252
2035,639426.9624505918
2036,637154.6205533594
2037,634882.278656126
2038,632609.9367588926
2039,630337.5948616592
2040,628065.2529644258
