year,value
2001,789924.0
2002,793182.0
2003,794814.0
2004,796745.0
2005,798596.0
2006,800483.0
2007,801939.0
2008,803955.0
2009,807011.0
2010,809443.0
2011,815806.0
2012,817382.0
2013,818916.0
2014,819977.0
2015,820697.0
2016,822310.0
2017,823826.0
2018,825022.0
2019,826244.0
2020,827028.0
2021,807657.0
2022,808090.0
2023,808810.0
2024,825798.581027668
2025,827086.6620553359
2026,828374.7430830039
2027,829662.8241106719
2028,830950.9051383398
2029,832238.9861660078
2030,833527.0671936758
2031,834815.1482213438
2032,836103.2292490122
2033,837391.3102766802
2034,838679.3913043481
2035,839967.4723320161
2036,841255.5533596841
2037,842543.634387352
2038,843831.71541502
2039,845119.796442688
2040,846407.877470356
