year,value
2001,607739.0
2002,603494.0
2003,602166.0
2004,601392.0
2005,600386.0
2006,599847.0
2007,599831.0
2008,599859.0
2009,599214.0
2010,598819.0
2011,594186.0
2012,593159.0
2013,592394.0
2014,591233.0
2015,589935.0
2016,588816.0
2017,587364.0
2018,585882.0
2019,584569.0
2020,582567.0
2021,573699.0
2022,570675.0
2023,568102.0
2024,573984.8102766802
2025,572485.9792490122
2026,570987.1482213442
2027,569488.3171936763
2028,567989.4861660083
2029,566490.6551383403
2030,564991.8241106723
2031,563492.9930830044
2032,561994.1620553359
2033,560495.331027668
2034,558996.5
2035,557497.668972332
2036,555998.8379446641
2037,554500.0069169961
2038,553001.1758893281
2039,551502.3448616602
2040,550003.5138339922
