year,value
2001,551358.0
2002,550911.0
2003,552014.0
2004,553198.0
2005,554172.0
2006,555075.0
2007,557151.0
2008,559934.0
2009,561525.0
2010,563081.0
2011,555509.0
2012,556577.0
2013,557608.0
2014,558677.0
2015,559697.0
2016,561156.0
2017,562372.0
2018,563591.0
2019,564917.0
2020,565324.0
2021,565296.0
2022,565573.0
2023,566114.0
2024,567118.2173913043
2025,567780.8586956522
2026,568443.5000000001
2027,569106.1413043478
2028,569768.7826086957
2029,570431.4239130436
2030,571094.0652173912
2031,571756.7065217391
2032,572419.347826087
2033,573081.9891304349
2034,573744.6304347826
2035,574407.2717391305
2036,575069.9130434784
2037,575732.554347826
2038,576395.195652174
2039,577057.8369565218
2040,577720.4782608695
