year,value
2001,694148.0
2002,693041.0
2003,693499.0
2004,694129.0
2005,694763.0
2006,695326.0
2007,695698.0
2008,696347.0
2009,697502.0
2010,698274.0
2011,689601.0
2012,690121.0
2013,690420.0
2014,690449.0
2015,690434.0
2016,690778.0
2017,691023.0
2018,691368.0
2019,691509.0
2020,691136.0
2021,689525.0
2022,688106.0
2023,687174.0
2024,688640.8023715416
2025,688330.5395256918
2026,688020.276679842
2027,687710.0138339922
2028,687399.7509881424
2029,687089.4881422926
2030,686779.2252964427
2031,686468.962450593
2032,686158.6996047432
2033,685848.4367588934
2034,685538.1739130436
2035,685227.9110671938
2036,684917.648221344
2037,684607.3853754941
2038,684297.1225296444
2039,683986.8596837946
2040,683676.5968379448
