year,crime_count
2001,12101.0
2002,13309.0
2003,13511.0
2004,16151.0
2005,14720.0
2006,14205.0
2007,13525.0
2008,13350.0
2009,13702.0
2010,12316.0
2011,12052.0
2012,11267.0
2013,11206.0
2014,10009.0
2015,8745.0
2016,7876.0
2017,7672.0
2018,7169.0
2019,7280.0
2020,6966.0
2021,6362.0
2022,6828.0
2023,5970.883116883109
2024,5540.20101637498
2025,5109.518915866851
2026,4678.836815358605
2027,4248.15471485036
2028,3817.4726143422304
2029,3386.790513834101
2030,2956.1084133258555
2031,2525.42631281761
2032,2094.7442123094806
2033,1664.0621118013514
2034,1233.3800112931058
2035,802.6979107848601
2036,372.0158102767309
2037,-58.66629023139831
2038,-489.34839073964395
2039,-920.0304912478896
2040,-1350.7125917560188
