year,crime_count
2001,18628.0
2002,21807.0
2003,21098.0
2004,24835.0
2005,23523.0
2006,24620.0
2007,25330.0
2008,24441.0
2009,24003.0
2010,20767.0
2011,19354.0
2012,18415.0
2013,17211.0
2014,15260.0
2015,14145.0
2016,13271.0
2017,11577.0
2018,10973.0
2019,10064.0
2020,9620.0
2021,8823.0
2022,8822.0
2023,8404.207792208064
2024,7606.996612083865
2025,6809.7854319594335
2026,6012.5742518352345
2027,5215.363071711035
2028,4418.151891586836
2029,3620.9407114626374
2030,2823.7295313384384
2031,2026.5183512142394
2032,1229.3071710900404
2033,432.09599096584134
2034,-365.1151891585905
2035,-1162.3263692827895
2036,-1959.5375494069885
2037,-2756.7487295311876
2038,-3553.9599096553866
2039,-4351.171089779586
2040,-5148.382269903785
