year,crime_count
2001,14473.0
2002,17452.0
2003,19829.0
2004,24750.0
2005,22377.0
2006,19136.0
2007,16721.0
2008,14627.0
2009,14422.0
2010,13761.0
2011,14565.0
2012,14281.0
2013,14282.0
2014,12717.0
2015,11551.0
2016,10588.0
2017,10112.0
2018,9543.0
2019,9156.0
2020,8090.0
2021,7814.0
2022,8796.0
2023,6996.155844155932
2024,6383.0033879163675
2025,5769.850931677036
2026,5156.6984754377045
2027,4543.54601919814
2028,3930.3935629588086
2029,3317.241106719477
2030,2704.0886504799128
2031,2090.9361942405812
2032,1477.7837380012497
2033,864.6312817616854
2034,251.47882552235387
2035,-361.67363071697764
2036,-974.826086956542
2037,-1587.9785431958735
2038,-2201.130999435438
2039,-2814.2834556747694
2040,-3427.435911914101
