year,crime_count
2001,8597.0
2002,10459.0
2003,10229.0
2004,11771.0
2005,11519.0
2006,11067.0
2007,10691.0
2008,10254.0
2009,10217.0
2010,9739.0
2011,9501.0
2012,9421.0
2013,9884.0
2014,9230.0
2015,8255.0
2016,8025.0
2017,7881.0
2018,7380.0
2019,6793.0
2020,6371.0
2021,6020.0
2022,6243.0
2023,6437.519480519462
2024,6208.580463015242
2025,5979.641445511021
2026,5750.702428006742
2027,5521.763410502521
2028,5292.8243929983
2029,5063.885375494079
2030,4834.9463579898
2031,4606.007340485579
2032,4377.0683229813585
2033,4148.129305477138
2034,3919.1902879728586
2035,3690.251270468638
2036,3461.312252964417
2037,3232.373235460196
2038,3003.434217955917
2039,2774.4952004516963
2040,2545.5561829474755
