year,crime_count
2001,10250.0
2002,11335.0
2003,12785.0
2004,15295.0
2005,14258.0
2006,12505.0
2007,11196.0
2008,10698.0
2009,11226.0
2010,10247.0
2011,10152.0
2012,10242.0
2013,10431.0
2014,9240.0
2015,8019.0
2016,7769.0
2017,7687.0
2018,7138.0
2019,7153.0
2020,6308.0
2021,6068.0
2022,6696.0
2022,6225.079051383422
2023,5879.8571428571595
2024,5534.635234330897
2025,5189.413325804635
2026,4844.191417278373
2027,4498.96950875211
2028,4153.747600225848
2029,3808.525691699586
2030,3463.3037831733236
2031,3118.0818746470613
2032,2772.859966120799
2033,2427.638057594537
2034,2082.4161490682745
2035,1737.1942405420123
2036,1391.97233201575
2037,1046.7504234894877
2038,701.5285149632255
2039,356.3066064370796
2040,11.08469791081734
