year,crime_count
2001,7203.0
2002,8477.0
2003,8476.0
2004,9250.0
2005,8584.0
2006,7625.0
2007,8171.0
2008,7774.0
2009,8501.0
2010,7581.0
2011,7775.0
2012,7753.0
2013,7569.0
2014,6958.0
2015,6280.0
2016,6149.0
2017,5986.0
2018,5514.0
2019,5033.0
2020,4761.0
2021,4437.0
2022,4817.0
2023,4773.207792207773
2024,4576.909655561787
2025,4380.611518915859
2026,4184.313382269873
2027,3988.015245623945
2028,3791.7171089779586
2029,3595.4189723319723
2030,3399.1208356860443
2031,3202.822699040058
2032,3006.52456239413
2033,2810.226425748144
2034,2613.9282891021576
2035,2417.6301524562296
2036,2221.3320158102433
2037,2025.0338791643153
2038,1828.735742518329
2039,1632.4376058723428
2040,1436.1394692264148
