year,crime_count
2001,8660.0
2002,10497.0
2003,10927.0
2004,11709.0
2005,11484.0
2006,10414.0
2007,10570.0
2008,10622.0
2009,9909.0
2010,8870.0
2011,8957.0
2012,8860.0
2013,9073.0
2014,8186.0
2015,7405.0
2016,7760.0
2017,7283.0
2018,6396.0
2019,6173.0
2020,5431.0
2021,5457.0
2022,5522.0
2022,5711.292490118649
2023,5432.000000000116
2024,5152.707509881468
2025,4873.415019762935
2026,4594.122529644286
2027,4314.830039525754
2028,4035.5375494072214
2029,3756.2450592885725
2030,3476.95256917004
2031,3197.6600790515076
2032,2918.367588932859
2033,2639.0750988143263
2034,2359.7826086956775
2035,2080.490118577145
2036,1801.1976284586126
2037,1521.9051383399637
2038,1242.6126482214313
2039,963.3201581027824
2040,684.02766798425
