year,crime_count
2001,11483.0
2002,12657.0
2003,12840.0
2004,15915.0
2005,14146.0
2006,13573.0
2007,12702.0
2008,11246.0
2009,11494.0
2010,10551.0
2011,10240.0
2012,9808.0
2013,9788.0
2014,9431.0
2015,8585.0
2016,8004.0
2017,7774.0
2018,7048.0
2019,6983.0
2020,6581.0
2021,5859.0
2022,6836.0
2023,5634.2077922078315
2024,5240.565782044083
2025,4846.923771880334
2026,4453.281761716586
2027,4059.639751552837
2028,3665.9977413890883
2029,3272.3557312253397
2030,2878.713721061591
2031,2485.0717108978424
2032,2091.429700734094
2033,1697.7876905703451
2034,1304.1456804065965
2035,910.5036702428479
2036,516.8616600790992
2037,123.2196499153506
2038,-270.42236024839804
2039,-664.0643704121467
2040,-1057.7063805758953
